img,forward,steering_angle
training_2025-06-12 21:10:36.229878.jpg,1,-1
training_2025-06-12 21:10:36.902806.jpg,1,0
training_2025-06-12 21:10:37.573362.jpg,1,0
training_2025-06-12 21:10:38.309830.jpg,1,0
training_2025-06-12 21:10:38.980047.jpg,1,-1
training_2025-06-12 21:10:39.651237.jpg,1,-1
training_2025-06-12 21:10:40.322306.jpg,1,-1
training_2025-06-12 21:10:40.998581.jpg,1,-1
training_2025-06-12 21:10:41.666007.jpg,1,0
training_2025-06-12 21:10:42.337382.jpg,1,0
training_2025-06-12 21:10:43.008631.jpg,1,0
training_2025-06-12 21:10:43.783766.jpg,1,0
training_2025-06-12 21:10:44.453842.jpg,1,0
training_2025-06-12 21:10:45.125136.jpg,1,-1
training_2025-06-12 21:10:45.795462.jpg,1,-1
training_2025-06-12 21:10:46.468615.jpg,1,-1
training_2025-06-12 21:10:47.140174.jpg,1,0
training_2025-06-12 21:10:47.811436.jpg,1,0
training_2025-06-12 21:10:48.481607.jpg,1,-1
training_2025-06-12 21:10:49.252371.jpg,1,-1
training_2025-06-12 21:10:49.929376.jpg,1,0
training_2025-06-12 21:10:50.604509.jpg,1,0
training_2025-06-12 21:10:51.270429.jpg,1,-1
training_2025-06-12 21:10:51.946752.jpg,1,-1
training_2025-06-12 21:10:52.616556.jpg,1,0
training_2025-06-12 21:10:53.288466.jpg,1,0
training_2025-06-12 21:10:53.958443.jpg,1,0
training_2025-06-12 21:10:54.714814.jpg,1,-1
training_2025-06-12 21:10:55.375086.jpg,1,-1
training_2025-06-12 21:10:56.052423.jpg,1,-1
training_2025-06-12 21:10:56.718326.jpg,1,0
training_2025-06-12 21:10:57.391854.jpg,1,0
training_2025-06-12 21:10:58.061484.jpg,1,-1
training_2025-06-12 21:10:58.734200.jpg,1,-1
training_2025-06-12 21:10:59.401381.jpg,1,0
training_2025-06-12 21:11:00.169057.jpg,1,0
training_2025-06-12 21:11:00.846820.jpg,1,-1
training_2025-06-12 21:11:01.518115.jpg,1,-1
training_2025-06-12 21:11:02.187438.jpg,1,0
training_2025-06-12 21:11:02.858844.jpg,1,0
training_2025-06-12 21:11:03.528910.jpg,1,0
training_2025-06-12 21:11:04.202316.jpg,1,0
training_2025-06-12 21:11:04.872472.jpg,1,-1
training_2025-06-12 21:11:05.619026.jpg,1,-1
training_2025-06-12 21:11:06.278223.jpg,1,-1
training_2025-06-12 21:11:06.952552.jpg,1,0
training_2025-06-12 21:11:07.622640.jpg,1,0
training_2025-06-12 21:11:08.294255.jpg,1,-1
training_2025-06-12 21:11:08.968042.jpg,1,-1
training_2025-06-12 21:11:09.639038.jpg,1,0
training_2025-06-12 21:11:10.310817.jpg,1,0
training_2025-06-12 21:11:11.079127.jpg,1,-1
training_2025-06-12 21:11:11.755261.jpg,1,-1
training_2025-06-12 21:11:12.433138.jpg,1,0
training_2025-06-12 21:11:13.100892.jpg,1,0
training_2025-06-12 21:11:13.772348.jpg,1,0
training_2025-06-12 21:11:14.443852.jpg,1,-1
training_2025-06-12 21:11:15.115193.jpg,1,-1
training_2025-06-12 21:11:15.788171.jpg,1,-1
training_2025-06-12 21:11:16.535189.jpg,1,0
training_2025-06-12 21:11:17.198942.jpg,1,0
training_2025-06-12 21:11:17.868631.jpg,1,-1
training_2025-06-12 21:11:18.540318.jpg,1,-1
training_2025-06-12 21:11:19.212584.jpg,1,0
training_2025-06-12 21:11:19.880217.jpg,1,-1
training_2025-06-12 21:11:20.558201.jpg,1,-1
training_2025-06-12 21:11:21.225273.jpg,1,-1
training_2025-06-12 21:11:21.992775.jpg,1,0
training_2025-06-12 21:14:38.615152.jpg,1,0
training_2025-06-12 21:14:39.302186.jpg,1,0
training_2025-06-12 21:14:39.976465.jpg,1,0
training_2025-06-12 21:14:40.643928.jpg,1,-1
training_2025-06-12 21:14:41.414289.jpg,1,-1
training_2025-06-12 21:14:42.094170.jpg,1,-1
training_2025-06-12 21:14:42.772719.jpg,1,-1
training_2025-06-12 21:14:43.440659.jpg,1,0
training_2025-06-12 21:14:44.114468.jpg,1,0
training_2025-06-12 21:14:44.785055.jpg,1,0
training_2025-06-12 21:14:45.459869.jpg,1,0
training_2025-06-12 21:14:46.133671.jpg,1,-1
training_2025-06-12 21:14:46.882948.jpg,1,-1
training_2025-06-12 21:14:47.556686.jpg,1,-1
training_2025-06-12 21:14:48.228186.jpg,1,0
training_2025-06-12 21:14:48.903632.jpg,1,-1
training_2025-06-12 21:14:49.574933.jpg,1,0
training_2025-06-12 21:14:50.251329.jpg,1,0
training_2025-06-12 21:14:50.924068.jpg,1,0
training_2025-06-12 21:14:51.598899.jpg,1,-1
training_2025-06-12 21:14:52.360528.jpg,1,-1
training_2025-06-12 21:14:53.041999.jpg,1,-1
training_2025-06-12 21:14:53.713554.jpg,1,-1
training_2025-06-12 21:14:54.385037.jpg,1,0
training_2025-06-12 21:14:55.044330.jpg,1,0
training_2025-06-12 21:15:05.978571.jpg,1,-1
training_2025-06-12 21:15:06.640019.jpg,1,-1
training_2025-06-12 21:15:07.324644.jpg,1,-1
training_2025-06-12 21:15:07.997878.jpg,1,-1
training_2025-06-12 21:15:08.768626.jpg,1,-1
training_2025-06-12 21:15:09.432617.jpg,1,-1
training_2025-06-12 21:15:10.115336.jpg,1,0
training_2025-06-12 21:15:10.790160.jpg,1,0
training_2025-06-12 21:15:11.451494.jpg,1,0
training_2025-06-12 21:15:12.134050.jpg,1,0
training_2025-06-12 21:15:12.805673.jpg,1,0
training_2025-06-12 21:15:13.475564.jpg,1,-1
training_2025-06-12 21:15:14.246493.jpg,1,-1
training_2025-06-12 21:15:14.929386.jpg,1,-1
training_2025-06-12 21:15:15.596446.jpg,1,-1
training_2025-06-12 21:15:16.271393.jpg,1,0
training_2025-06-12 21:15:16.941562.jpg,1,0
training_2025-06-12 21:15:17.614452.jpg,1,0
training_2025-06-12 21:15:18.284390.jpg,1,-1
training_2025-06-12 21:15:18.947118.jpg,1,-1
training_2025-06-12 21:15:19.703726.jpg,1,0
training_2025-06-12 21:15:20.375557.jpg,1,0
training_2025-06-12 21:15:21.046731.jpg,1,-1
training_2025-06-12 21:15:21.719602.jpg,1,0
training_2025-06-12 21:15:22.395520.jpg,1,0
training_2025-06-12 21:15:23.065817.jpg,1,-1
training_2025-06-12 21:15:23.733344.jpg,1,-1
training_2025-06-12 21:15:24.408321.jpg,1,-1
training_2025-06-12 21:15:25.183315.jpg,1,-1
training_2025-06-12 21:15:25.854402.jpg,1,0
training_2025-06-12 21:15:26.530550.jpg,1,0
training_2025-06-12 21:15:27.198420.jpg,1,0
training_2025-06-12 21:15:27.868474.jpg,1,-1
training_2025-06-12 21:15:28.541567.jpg,1,-1
training_2025-06-12 21:15:29.208459.jpg,1,-1
training_2025-06-12 21:15:29.880378.jpg,1,0
training_2025-06-12 21:15:30.651023.jpg,1,0
training_2025-06-12 21:15:31.332650.jpg,1,0
training_2025-06-12 21:15:32.008578.jpg,1,-1
training_2025-06-12 21:15:32.682475.jpg,1,0
training_2025-06-12 21:15:33.349515.jpg,1,0
training_2025-06-12 21:15:34.016886.jpg,1,-1
training_2025-06-12 21:15:34.682129.jpg,1,-1
training_2025-06-12 21:15:35.360028.jpg,1,-1
training_2025-06-12 21:15:36.108162.jpg,1,0
training_2025-06-12 21:15:36.781101.jpg,1,0
training_2025-06-12 21:15:37.451715.jpg,1,0
training_2025-06-12 21:15:38.124570.jpg,1,-1
training_2025-06-12 21:15:38.794575.jpg,1,-1
training_2025-06-12 21:15:39.468344.jpg,1,-1
training_2025-06-12 21:15:40.139865.jpg,1,0
training_2025-06-12 21:15:40.816911.jpg,1,0
training_2025-06-12 21:15:41.595023.jpg,1,-1
training_2025-06-12 21:15:42.248435.jpg,1,-1
training_2025-06-12 21:15:42.923297.jpg,1,0
training_2025-06-12 21:15:43.597075.jpg,1,0
training_2025-06-12 21:15:44.270528.jpg,1,0
training_2025-06-12 21:15:44.937725.jpg,1,-1
training_2025-06-12 21:15:45.610542.jpg,1,-1
training_2025-06-12 21:15:46.291991.jpg,1,-1
training_2025-06-12 21:15:47.059936.jpg,1,-1
training_2025-06-12 21:15:47.729337.jpg,1,-1
training_2025-06-12 21:15:48.404419.jpg,1,0
training_2025-06-12 21:15:49.077250.jpg,1,0
training_2025-06-12 21:15:49.748974.jpg,1,0
training_2025-06-12 21:15:50.421353.jpg,1,0
training_2025-06-12 21:15:51.092811.jpg,1,-1
training_2025-06-12 21:15:51.765812.jpg,1,-1
training_2025-06-12 21:15:52.513379.jpg,1,-1
training_2025-06-12 21:15:53.188764.jpg,1,0
training_2025-06-12 21:15:53.854327.jpg,1,0
training_2025-06-12 21:15:54.526336.jpg,1,0
training_2025-06-12 21:15:55.195926.jpg,1,0
training_2025-06-12 21:15:55.866327.jpg,1,-1
training_2025-06-12 21:15:56.538043.jpg,1,-1
training_2025-06-12 21:15:57.224229.jpg,1,-1
training_2025-06-12 21:15:57.982936.jpg,1,0
training_2025-06-12 21:15:58.661449.jpg,1,0
training_2025-06-12 21:15:59.331106.jpg,1,0
training_2025-06-12 21:16:00.004844.jpg,1,-1
training_2025-06-12 21:16:00.678094.jpg,1,-1
training_2025-06-12 21:16:01.344296.jpg,1,-1
training_2025-06-12 21:16:02.016511.jpg,1,0
training_2025-06-12 21:16:02.689669.jpg,1,0
training_2025-06-12 21:16:03.470615.jpg,1,0
training_2025-06-12 21:16:04.149729.jpg,1,-1
training_2025-06-12 21:16:04.819610.jpg,1,-1
training_2025-06-12 21:16:05.481822.jpg,1,0
training_2025-06-12 21:16:06.165566.jpg,1,0
training_2025-06-12 21:16:06.835473.jpg,1,-1
training_2025-06-12 21:16:07.503788.jpg,1,-1
training_2025-06-12 21:16:08.181798.jpg,1,-1
training_2025-06-12 21:16:08.935247.jpg,1,-1
training_2025-06-12 21:16:09.626278.jpg,1,0
training_2025-06-12 21:16:10.293834.jpg,1,0
training_2025-06-12 21:16:10.976955.jpg,1,-1
training_2025-06-12 21:16:11.638838.jpg,1,-1
training_2025-06-12 21:16:12.318087.jpg,1,0
training_2025-06-12 21:16:12.986412.jpg,1,0
training_2025-06-12 21:16:13.659721.jpg,1,-1
training_2025-06-12 21:16:14.417158.jpg,1,-1
training_2025-06-12 21:16:15.110423.jpg,1,0
training_2025-06-12 21:16:15.778960.jpg,1,0
training_2025-06-12 21:16:16.453630.jpg,1,-1
training_2025-06-12 21:16:17.122522.jpg,1,-1
training_2025-06-12 21:16:17.791165.jpg,1,0
training_2025-06-12 21:16:18.470548.jpg,1,0
training_2025-06-12 21:16:19.142285.jpg,1,-1
training_2025-06-12 21:16:19.907190.jpg,1,-1
training_2025-06-12 21:16:20.583356.jpg,1,0
training_2025-06-12 21:16:21.265303.jpg,1,0
training_2025-06-12 21:16:21.935861.jpg,1,-1
training_2025-06-12 21:16:22.600633.jpg,1,-1
training_2025-06-12 21:16:23.271896.jpg,1,-1
training_2025-06-12 21:16:23.945901.jpg,1,0
training_2025-06-12 21:16:24.615542.jpg,1,0
training_2025-06-12 21:16:25.396029.jpg,1,-1
training_2025-06-12 21:16:26.065492.jpg,1,0
training_2025-06-12 21:16:26.734140.jpg,1,0
training_2025-06-12 21:16:27.407803.jpg,1,-1
training_2025-06-12 21:16:28.080658.jpg,1,-1
training_2025-06-12 21:16:28.758118.jpg,1,-1
training_2025-06-12 21:16:29.426256.jpg,1,0
training_2025-06-12 21:16:30.100493.jpg,1,0
training_2025-06-12 21:16:30.841403.jpg,1,-1
training_2025-06-12 21:16:31.517233.jpg,1,-1
training_2025-06-12 21:16:32.187748.jpg,1,0
training_2025-06-12 21:16:32.864560.jpg,1,0
training_2025-06-12 21:16:33.535059.jpg,1,-1
training_2025-06-12 21:16:34.201326.jpg,1,-1
training_2025-06-12 21:16:34.874649.jpg,1,-1
training_2025-06-12 21:16:35.545477.jpg,1,0
training_2025-06-12 21:16:36.312245.jpg,1,0
training_2025-06-12 21:16:36.991882.jpg,1,-1
training_2025-06-12 21:16:37.662816.jpg,1,-1
training_2025-06-12 21:16:38.337310.jpg,1,0
training_2025-06-12 21:16:39.011875.jpg,1,0
training_2025-06-12 21:16:39.690279.jpg,1,-1
training_2025-06-12 21:16:40.362318.jpg,1,-1
training_2025-06-12 21:16:41.026414.jpg,1,0
training_2025-06-12 21:16:41.798283.jpg,1,0
training_2025-06-12 21:16:42.479601.jpg,1,-1
training_2025-06-12 21:16:43.144997.jpg,1,-1
training_2025-06-12 21:16:43.833442.jpg,1,-1
training_2025-06-12 21:16:44.497527.jpg,1,-1
training_2025-06-12 21:16:45.162479.jpg,1,0
training_2025-06-12 21:16:45.845237.jpg,1,0
training_2025-06-12 21:16:46.507978.jpg,1,0
training_2025-06-12 21:16:47.288231.jpg,1,0
training_2025-06-12 21:16:47.965766.jpg,1,-1
training_2025-06-12 21:16:48.639109.jpg,1,-1
training_2025-06-12 21:16:49.314638.jpg,1,-1
training_2025-06-12 21:16:49.989234.jpg,1,-1
training_2025-06-12 21:16:50.662715.jpg,1,-1
training_2025-06-12 21:16:51.330484.jpg,1,0
training_2025-06-12 21:16:52.002338.jpg,1,0
training_2025-06-12 21:16:52.751524.jpg,1,-1
training_2025-06-12 21:16:53.416059.jpg,1,-1
training_2025-06-12 21:16:54.081473.jpg,1,0
training_2025-06-12 21:16:54.762904.jpg,1,-1
training_2025-06-12 21:16:55.429315.jpg,1,-1
training_2025-06-12 21:16:56.102410.jpg,1,-1
training_2025-06-12 21:16:56.786707.jpg,1,0
training_2025-06-12 21:16:57.459939.jpg,1,0
training_2025-06-12 21:16:58.221738.jpg,1,0
training_2025-06-12 21:16:58.903122.jpg,1,-1
training_2025-06-12 21:16:59.568995.jpg,1,-1
training_2025-06-12 21:17:00.248849.jpg,1,0
training_2025-06-12 21:17:00.919542.jpg,1,0
training_2025-06-12 21:17:01.586725.jpg,1,-1
training_2025-06-12 21:17:02.257143.jpg,1,-1
training_2025-06-12 21:17:02.931819.jpg,1,-1
training_2025-06-12 21:17:03.705591.jpg,1,-1
training_2025-06-12 21:17:04.377802.jpg,1,0
training_2025-06-12 21:17:05.057586.jpg,1,0
training_2025-06-12 21:17:05.731393.jpg,1,0
training_2025-06-12 21:17:06.394525.jpg,1,-1
training_2025-06-12 21:17:07.072847.jpg,1,-1
training_2025-06-12 21:17:07.736371.jpg,1,0
training_2025-06-12 21:17:08.416261.jpg,1,0
training_2025-06-12 21:17:09.162928.jpg,1,-1
training_2025-06-12 21:17:09.830812.jpg,1,-1
training_2025-06-12 21:17:10.507654.jpg,1,-1
training_2025-06-12 21:17:11.173617.jpg,1,-1
training_2025-06-12 21:17:11.850030.jpg,1,0
training_2025-06-12 21:17:12.521539.jpg,1,0
training_2025-06-12 21:17:13.194000.jpg,1,0
training_2025-06-12 21:17:13.860576.jpg,1,-1
training_2025-06-12 21:17:14.631055.jpg,1,-1
training_2025-06-12 21:17:15.315911.jpg,1,-1
training_2025-06-12 21:17:15.982406.jpg,1,-1
training_2025-06-12 21:17:16.650047.jpg,1,-1
training_2025-06-12 21:17:17.321121.jpg,1,0
training_2025-06-12 21:17:17.993951.jpg,1,0
training_2025-06-12 21:17:18.668709.jpg,1,0
training_2025-06-12 21:17:19.336554.jpg,1,0
training_2025-06-12 21:17:20.108487.jpg,1,0
training_2025-06-12 21:17:20.791868.jpg,1,-1
training_2025-06-12 21:17:21.462859.jpg,1,-1
training_2025-06-12 21:17:22.143542.jpg,1,-1
training_2025-06-12 21:17:22.808765.jpg,1,0
training_2025-06-12 21:17:23.480873.jpg,1,0
training_2025-06-12 21:17:24.155086.jpg,1,-1
training_2025-06-12 21:17:24.826612.jpg,1,-1
training_2025-06-12 21:17:39.219581.jpg,1,-1
training_2025-06-12 21:17:39.891617.jpg,1,-1
training_2025-06-12 21:17:40.563841.jpg,1,-1
training_2025-06-12 21:17:41.239115.jpg,1,-1
training_2025-06-12 21:17:41.988291.jpg,1,0
training_2025-06-12 21:17:42.650237.jpg,1,0
training_2025-06-12 21:17:43.321828.jpg,1,0
training_2025-06-12 21:17:43.998544.jpg,1,0
training_2025-06-12 21:17:44.671359.jpg,1,-1
training_2025-06-12 21:17:45.342401.jpg,1,-1
training_2025-06-12 21:17:46.010461.jpg,1,-1
training_2025-06-12 21:17:46.685392.jpg,1,-1
training_2025-06-12 21:17:47.458768.jpg,1,-1
training_2025-06-12 21:17:48.136042.jpg,1,0
training_2025-06-12 21:17:48.811911.jpg,1,0
training_2025-06-12 21:17:49.486259.jpg,1,0
training_2025-06-12 21:17:50.157681.jpg,1,-1
training_2025-06-12 21:17:50.828689.jpg,1,-1
training_2025-06-12 21:17:51.497546.jpg,1,-1
training_2025-06-12 21:17:52.171084.jpg,1,0
training_2025-06-12 21:17:52.941797.jpg,1,0
training_2025-06-12 21:17:53.620379.jpg,1,0
training_2025-06-12 21:17:54.282715.jpg,1,-1
training_2025-06-12 21:17:54.962936.jpg,1,-1
training_2025-06-12 21:17:55.629536.jpg,1,-1
training_2025-06-12 21:17:56.312709.jpg,1,0
training_2025-06-12 21:17:56.982012.jpg,1,-1
training_2025-06-12 21:17:57.650247.jpg,1,-1
training_2025-06-12 21:17:58.392726.jpg,1,0
training_2025-06-12 21:17:59.063469.jpg,1,0
training_2025-06-12 21:17:59.732615.jpg,1,-1
training_2025-06-12 21:18:00.410234.jpg,1,-1
training_2025-06-12 21:18:01.088085.jpg,1,0
training_2025-06-12 21:18:01.755010.jpg,1,0
training_2025-06-12 21:18:02.425063.jpg,1,-1
training_2025-06-12 21:18:03.093600.jpg,1,-1
training_2025-06-12 21:18:03.871303.jpg,1,0
training_2025-06-12 21:18:04.538398.jpg,1,-1
training_2025-06-12 21:18:05.210268.jpg,1,-1
training_2025-06-12 21:18:05.886855.jpg,1,0
training_2025-06-12 21:18:06.558420.jpg,1,0
training_2025-06-12 21:18:07.229897.jpg,1,-1
training_2025-06-12 21:18:07.912488.jpg,1,-1
training_2025-06-12 21:18:08.574327.jpg,1,-1
training_2025-06-12 21:18:09.337100.jpg,1,-1
training_2025-06-12 21:18:10.026366.jpg,1,0
training_2025-06-12 21:18:10.691593.jpg,1,0
training_2025-06-12 21:18:11.374852.jpg,1,-1
training_2025-06-12 21:18:12.046790.jpg,1,-1
training_2025-06-12 21:18:12.710746.jpg,1,-1
training_2025-06-12 21:18:13.388669.jpg,1,0
training_2025-06-12 21:18:14.055665.jpg,1,0
training_2025-06-12 21:18:14.801994.jpg,1,-1
training_2025-06-12 21:18:15.481327.jpg,1,-1
training_2025-06-12 21:18:16.142496.jpg,1,0
training_2025-06-12 21:18:16.812858.jpg,1,0
training_2025-06-12 21:18:17.486450.jpg,1,0
training_2025-06-12 21:18:18.155602.jpg,1,-1
training_2025-06-12 21:18:18.826475.jpg,1,-1
training_2025-06-12 21:18:19.505117.jpg,1,-1
training_2025-06-12 21:18:20.276630.jpg,1,0
training_2025-06-12 21:18:20.951445.jpg,1,0
training_2025-06-12 21:18:21.626566.jpg,1,-1
training_2025-06-12 21:18:22.301899.jpg,1,-1
training_2025-06-12 21:18:22.967983.jpg,1,-1
